date,total_normal_beds,total_o2_beds,total_icu_beds,total_ventilator_beds,occupied_normal_beds,occupied_o2_beds,occupied_icu_beds,occupied_ventilator_beds
2022-01-06,835,863,152,151,1,14,15,11
2022-01-07,835,863,152,151,1,14,15,11
2022-01-08,835,863,152,151,1,14,15,11
2022-01-09,835,863,152,151,1,14,15,11
2022-01-10,835,863,152,151,1,14,15,11
2022-01-11,840,867,152,151,1,14,15,11
2022-01-12,840,867,152,151,1,14,15,11
2022-01-13,813,909,153,153,1,14,15,11
2022-01-14,813,909,153,153,1,14,15,11
2022-01-15,813,909,153,153,1,14,15,11
2022-01-16,813,909,153,153,1,14,15,11
2022-01-17,813,909,153,153,1,14,15,11
2022-01-18,813,909,153,153,1,14,15,11
2022-01-19,813,909,153,153,1,14,15,11
2022-01-20,813,909,153,153,1,14,15,11
2022-01-21,813,909,153,153,1,14,15,11
2022-01-22,813,909,153,153,1,14,15,11
2022-01-23,813,909,153,153,1,14,15,11
2022-01-24,813,909,153,153,1,14,15,11
2022-01-25,813,909,153,153,1,14,15,11
2022-01-26,813,909,153,153,1,14,15,11
2022-01-27,813,909,153,153,1,14,15,11
2022-01-28,813,909,153,153,1,14,15,11
2022-01-29,813,909,153,153,1,14,15,11
2022-01-30,813,909,153,153,1,14,15,11
2022-01-31,813,909,153,153,1,14,15,11
2022-02-01,813,909,153,153,1,14,15,11
2022-02-02,813,909,153,153,1,14,15,11
2022-02-03,813,909,153,153,1,14,15,11
2022-02-04,813,909,153,153,1,14,15,11
2022-02-05,813,909,153,153,1,14,15,11
2022-02-06,813,909,153,153,1,14,15,11
2022-02-07,813,909,153,153,1,14,15,11
2022-02-08,813,909,153,153,1,14,15,11
2022-02-10,813,909,153,153,1,14,15,11
2022-02-11,813,909,153,153,1,14,15,11
2022-02-12,813,909,153,153,1,14,15,11
2022-02-13,813,909,153,153,1,14,15,11
2022-02-14,813,909,153,153,1,14,15,11
2022-02-15,813,909,153,153,1,14,15,11
2022-02-16,813,909,153,153,1,14,15,11
2022-02-17,813,909,153,153,1,14,15,11
2022-02-18,813,909,153,153,1,14,15,11
2022-02-19,813,909,153,153,1,14,15,11
2022-02-20,813,909,153,153,1,14,15,11
2022-02-21,813,909,153,153,1,14,15,11
2022-02-22,813,909,153,153,1,14,15,11
2022-02-23,813,909,153,153,1,14,15,11
2022-02-24,813,909,153,153,1,14,15,11
2022-02-25,813,909,153,153,1,14,15,11
2022-02-26,813,909,153,153,1,14,15,11
2022-02-27,813,909,153,153,1,14,15,11
2022-02-28,813,909,153,153,1,14,15,11
2022-03-01,813,909,153,153,1,14,15,11
2022-03-02,813,909,153,153,1,14,15,11
2022-03-03,813,909,153,153,1,14,15,11
2022-03-04,813,909,153,153,1,14,15,11
2022-03-05,813,909,153,153,1,14,15,11
2022-03-06,813,909,153,153,1,14,15,11
2022-03-07,813,909,153,153,1,14,15,11
2022-03-08,813,909,153,153,1,14,15,11
2022-03-09,813,909,153,153,1,14,15,11
2022-03-10,813,909,153,153,1,14,15,11
2022-03-11,813,909,153,153,1,14,15,11
2022-03-12,813,909,153,153,1,14,15,11
2022-03-13,813,909,153,153,1,14,15,11
2022-03-14,813,909,153,153,1,14,15,11
2022-03-15,813,909,153,153,1,14,15,11
2022-03-16,813,909,153,153,1,14,15,11
2022-03-17,813,909,153,153,1,14,15,11
2022-03-18,813,909,153,153,1,14,15,11
2022-03-19,813,909,153,153,1,14,15,11
2022-03-20,813,909,153,153,1,14,15,11
2022-03-21,813,909,153,153,1,14,15,11
2022-03-22,813,909,153,153,1,14,15,11
2022-03-23,813,909,153,153,1,14,15,11
2022-03-24,813,909,153,153,1,14,15,11
2022-03-25,813,909,153,153,1,14,15,11
2022-03-26,813,909,153,153,1,14,15,11
2022-03-27,813,909,153,153,1,14,15,11
2022-03-28,813,909,153,153,1,14,15,11
2022-03-29,813,909,153,153,1,14,15,11
2022-03-30,813,909,153,153,1,14,15,11
2022-03-31,813,909,153,153,1,14,15,11
2022-04-01,813,909,153,153,1,14,15,11
2022-04-02,813,909,153,153,1,14,15,11
2022-04-03,813,909,153,153,1,14,15,11
2022-04-04,813,909,153,153,1,14,15,11
2022-04-05,813,909,153,153,1,14,15,11
2022-04-06,813,909,153,153,1,14,15,11
2022-04-07,813,909,153,153,1,14,15,11
2022-04-08,813,909,153,153,1,14,15,11
2022-04-09,813,909,153,153,1,14,15,11
2022-04-10,813,909,153,153,1,14,15,11
2022-04-11,813,909,153,153,1,14,15,11
2022-04-12,813,909,153,153,1,14,15,11
2022-04-13,813,909,153,153,1,14,15,11
2022-04-14,813,909,153,153,1,14,15,11
2022-04-15,813,909,153,153,1,14,15,11
2022-04-16,813,909,153,153,1,14,15,11
2022-04-17,813,909,153,153,1,14,15,11
2022-04-18,813,909,153,153,1,14,15,11
2022-04-19,813,909,153,153,1,14,15,11
2022-04-20,813,909,153,153,1,14,15,11
2022-04-21,813,909,153,153,1,14,15,11
2022-04-22,813,909,153,153,1,14,15,11
2022-04-23,813,909,153,153,1,14,15,11
2022-04-24,813,909,153,153,1,14,15,11
2022-04-25,813,909,153,153,1,14,15,11
2022-04-26,813,909,153,153,1,14,15,11
2022-04-27,813,909,153,153,1,14,15,11
2022-04-28,813,909,153,153,1,14,15,11
2022-04-29,813,909,153,153,1,14,15,11
2022-04-30,813,909,153,153,1,14,15,11
2022-05-01,813,909,153,153,1,14,15,11
2022-05-02,813,909,153,153,1,14,15,11
2022-05-03,813,909,153,153,1,14,15,11
2022-05-04,813,909,153,153,1,14,15,11
2022-05-05,813,909,153,153,1,14,15,11
2022-05-06,813,909,153,153,1,14,15,11
2022-05-07,813,909,153,153,1,14,15,11
2022-05-08,813,909,153,153,1,14,15,11
2022-05-09,813,909,153,153,1,14,15,11
2022-05-10,813,909,153,153,1,14,15,11
2022-05-11,813,909,153,153,1,14,15,11
2022-05-12,813,909,153,153,1,14,15,11
2022-05-13,813,909,153,153,1,14,15,11
2022-05-14,813,909,153,153,1,14,15,11
2022-05-15,813,909,153,153,1,14,15,11
2022-05-16,813,909,153,153,1,14,15,11
2022-05-17,813,909,153,153,1,14,15,11
2022-05-18,813,909,153,153,1,14,15,11
2022-05-19,813,909,153,153,1,14,15,11
2022-05-20,813,909,153,153,1,14,15,11
2022-05-21,813,909,153,153,1,14,15,11
2022-05-22,813,909,153,153,1,14,15,11
2022-05-23,813,909,153,153,1,14,15,11
2022-05-24,813,909,153,153,1,14,15,11
2022-05-25,813,909,153,153,1,14,15,11
2022-05-26,813,909,153,153,1,14,15,11
2022-05-27,813,909,153,153,1,14,15,11
2022-05-28,813,909,153,153,1,14,15,11
2022-05-29,813,909,153,153,1,14,15,11
2022-05-30,813,909,153,153,1,14,15,11
2022-05-31,813,909,153,153,1,14,15,11
2022-06-01,813,909,153,153,1,14,15,11
2022-06-02,813,909,153,153,1,14,15,11
2022-06-03,813,909,153,153,1,14,15,11
2022-06-04,813,909,153,153,1,14,15,11
2022-06-05,813,909,153,153,1,14,15,11
2022-06-06,813,909,153,153,1,14,15,11
2022-06-07,813,909,153,153,1,14,15,11
2022-06-08,813,909,153,153,1,14,15,11
2022-06-10,813,909,153,153,1,14,15,11
2022-06-11,813,909,153,153,1,14,15,11
2022-06-12,813,909,153,153,1,14,15,11
2022-06-13,813,909,153,153,1,14,15,11
2022-06-14,813,909,153,153,1,14,15,11
2022-06-15,813,909,153,153,1,14,15,11
2022-06-16,813,909,153,153,1,14,15,11
2022-06-17,813,909,153,153,1,14,15,11
2022-06-18,813,909,153,153,1,14,15,11
2022-06-19,813,909,153,153,1,14,15,11
2022-06-20,813,909,153,153,1,14,15,11
2022-06-21,813,909,153,153,1,14,15,11
2022-06-22,813,909,153,153,1,14,15,11
2022-06-23,813,909,153,153,1,14,15,11
2022-06-24,813,909,153,153,1,14,15,11
2022-06-25,813,909,153,153,1,14,15,11
2022-06-26,813,909,153,153,1,14,15,11
2022-06-27,813,909,153,153,1,14,15,11
2022-06-28,813,909,153,153,1,14,15,11
2022-06-29,813,909,153,153,1,14,15,11
2022-06-30,813,909,153,153,1,14,15,11
2022-07-01,813,909,153,153,1,14,15,11
2022-07-02,813,909,153,153,1,14,15,11
2022-07-03,813,909,153,153,1,14,15,11
2022-07-04,813,909,153,153,1,14,15,11
2022-07-05,813,909,153,153,1,14,15,11
2022-07-06,813,909,153,153,1,14,15,11
2022-07-07,813,909,153,153,1,14,15,11
2022-07-08,813,909,153,153,1,14,15,11
2022-07-09,813,909,153,153,1,14,15,11
2022-07-10,813,909,153,153,1,14,15,11
2022-07-11,813,909,153,153,1,14,15,11
2022-07-12,813,909,153,153,1,14,15,11
2022-07-13,813,909,153,153,1,14,15,11
2022-07-14,813,909,153,153,1,14,15,11
2022-07-15,813,909,153,153,1,14,15,11
2022-07-16,813,909,153,153,1,14,15,11
2022-07-17,813,909,153,153,1,14,15,11
2022-07-18,813,909,153,153,1,14,15,11
2022-07-19,813,909,153,153,1,14,15,11
2022-07-20,813,909,153,153,1,14,15,11
2022-07-21,813,909,153,153,1,14,15,11
2022-07-22,813,909,153,153,1,14,15,11
2022-07-23,813,909,153,153,1,14,15,11
2022-07-24,813,909,153,153,1,14,15,11
2022-07-25,813,909,153,153,1,14,15,11
2022-07-26,813,909,153,153,1,14,15,11
2022-07-27,813,909,153,153,1,14,15,11
2022-07-28,813,909,153,153,1,14,15,11
2022-07-29,813,909,153,153,1,14,15,11
2022-07-30,813,909,153,153,1,14,15,11
2022-07-31,813,909,153,153,1,14,15,11
2022-08-01,813,909,153,153,1,14,15,11
2022-08-02,813,909,153,153,1,14,15,11
2022-08-03,813,909,153,153,1,14,15,11
2022-08-04,813,909,153,153,1,14,15,11
2022-08-05,813,909,153,153,1,14,15,11
2022-08-06,813,909,153,153,1,14,15,11
2022-08-07,813,909,153,153,1,14,15,11
2022-08-08,813,909,153,153,1,14,15,11
2022-08-09,813,909,153,153,1,14,15,11
2022-08-10,813,909,153,153,1,14,15,11
2022-08-11,813,909,153,153,1,14,15,11
