date,total_beds,total_oxygen_beds,total_covid_icu_beds,total_ventilators,total_icu_beds_without_ventilator,total_noncovid_icu_beds,occupied_beds,occupied_oxygen_beds,occupied_covid_icu_beds,occupied_ventilators,occupied_icu_beds_without_ventilator,occupied_noncovid_icu_beds
2020-09-27,15820,0,338,1319,1657,0,6679,0,468,822,1290,0
2020-11-03,,,,1244,,,,,,843,,
2020-11-04,15782,0,686,1245,1931,1557,6942,0,552,847,1399,1153
2020-11-05,,,,1246,,,,,,888,,
2020-11-06,,,,1250,,,,,,912,,
2020-11-07,,,,1253,,,,,,1006,,
2020-11-08,,,,1261,,,,,,1021,,
2020-11-09,,,,1268,,,,,,1046,,
2020-11-10,,,,1270,,,,,,1054,,
2020-11-11,,,,1270,,,,,,1108,,
2020-11-12,,,,1282,,,,,,1106,,
2020-11-12,,,,1283,,,,,,1118,,
2020-11-13,,,,1328,,,,,,1157,,
2020-11-14,,,,1325,,,,,,1172,,
2020-11-15,,,,1341,,,,,,1177,,
2020-11-17,,,,1331,,,,,,1215,,
2020-11-18,,,,1352,,,,,,1236,,
2020-11-19,,,,1362,,,,,,1231,,
2020-11-19,,,,1368,,,,,,1230,,
2020-11-20,,,,1380,,,,,,1257,,
2020-11-21,,,,1386,,,,,,1265,,
2020-11-22,,,,1397,,,,,,1268,,
2020-11-22,,,,1397,,,,,,1264,,
2020-11-23,17477,0,1330,1397,2727,1451,9456,0,970,1275,2245,1144
2020-11-24,,,,1414,,,,,,1248,,
2020-11-25,,,,1413,,,,,,1247,,
2020-11-26,,,,1475,,,,,,1272,,
2020-11-27,,,,1478,,,,,,1255,,
2020-11-28,,,,1482,,,,,,1220,,
2020-11-29,,,,1492,,,,,,1190,,
2020-12-01,,,,1492,,,,,,1135,,
2020-12-07,,,,1531,,,,,,1038,,
2021-03-12,5711,,421,786,1207,1734,597,,29,112,141,1311
2021-04-19,18930,,4310,1434,2876,1241,15372,,4187,1347,2840,994
2021-04-21,19815,,4642,1457,3185,1146,17486,,4615,1452,3163,885
2021-04-23,20453,,4490,1472,3018,1154,18427,,4465,1471,2994,880
2021-04-24,19824,,4607,1471,3136,1149,18125,,4585,1466,3119,870
2021-04-25,20333,,4648,1525,3123,1149,18744,,4633,1523,3110,857
2021-04-26,20382,,4674,1584,3090,1150,18713,,4662,1583,3079,854
2021-04-28,20815,,4755,1621,3134,1136,19172,,4736,1620,3116,838
2021-04-29,21152,,4874,1725,3149,1116,19519,,4858,1717,3141,822
2021-04-30,20969,,4929,1731,3198,1098,19773,,4919,1728,3191,812
2021-05-01,21483,,5109,1754,3355,1092,20123,,5042,1749,3293,812
2021-05-06,22077,19366,5400,1856,3544,1060,20405,18473,5371,1852,3519,803
2021-05-08,22435,19701,5661,1978,3683,1331,20024,18222,5616,1972,3644,1133
2021-05-11,22875,20123,5835,2056,3779,1018,19588,17836,5796,2051,3745,764
2021-05-18,27625,24260,6627,2336,4291,1049,15379,14292,5657,2144,3513,797
2021-06-01,28308,24365,6842,2551,4291,1192,4557,4341,2600,1429,1171,896
2021-08-24,16599,13238,3560,1383,2177,3090,299,291,111,67,44,2154
2021-08-24,16599,13238,3560,1383,2177,3090,299,291,111,67,44,2154
2021-12-19,13517,10444,2788,1378,1410,3432,235,231,60,12,48,2291
2021-12-20,13514,10444,2788,1378,1410,3432,230,227,101,9,92,2294
2021-12-21,13574,10504,2791,1378,1413,3423,219,215,37,11,26,2315
2021-12-22,13574,10504,2796,1382,1414,3423,236,232,39,13,26,2345
2021-12-23,13573,10505,2796,1382,1414,3423,252,249,47,17,30,2366
2021-12-24,13500,10442,2786,1381,1405,3423,249,246,37,10,27,2380
2021-12-25,13500,10454,2786,1381,1405,3423,247,244,34,6,28,2359
2021-12-26,13499,10454,2787,1382,1405,3423,256,250,32,8,24,2355
2021-12-27,13444,10400,2781,1382,1399,3419,292,287,36,12,24,2332
2021-12-28,13482,10474,2762,1379,1383,3435,309,305,38,21,17,2310
2021-12-29,13504,10485,2769,1379,1390,3435,302,296,27,15,12,2334
2021-12-30,13474,10469,2770,1379,1391,3435,313,306,49,26,23,2344
2021-12-31,13742,10730,3020,1429,1591,3437,356,343,93,45,48,2330
2022-01-01,8883,8330,2776,1380,1396,3434,243,233,56,21,35,2316
2022-01-02,9024,8471,2772,1379,1393,3404,311,297,65,31,34,2309
