date,total_normal_beds,total_o2_beds,total_icu_beds,total_ventilator_beds,occupied_normal_beds,occupied_o2_beds,occupied_icu_beds,occupied_ventilator_beds
2022-01-06,1555,2183,873,730,52,42,18,5
2022-01-07,1589,2218,880,733,57,42,14,4
2022-01-08,1634,2236,899,738,67,55,14,6
2022-01-09,1688,2244,894,740,84,69,17,7
2022-01-10,1734,2264,885,741,110,65,23,8
2022-01-11,1739,2269,885,741,124,65,26,15
2022-01-12,1762,2310,935,748,136,69,32,16
2022-01-13,1758,2295,935,748,148,80,29,17
2022-01-14,1803,2251,886,732,158,80,34,18
2022-01-15,1803,2251,886,732,161,82,35,18
2022-01-16,1808,2277,886,732,175,86,50,31
2022-01-17,1819,2291,886,732,193,92,30,33
2022-01-18,1837,2335,894,735,203,121,35,33
2022-01-19,1837,2361,898,737,222,127,35,35
2022-01-20,1839,2369,904,729,242,161,49,26
2022-01-21,1874,2390,917,736,247,173,53,30
2022-01-22,1891,2401,919,733,270,191,56,31
2022-01-23,1891,2401,919,733,267,181,76,31
2022-01-24,1895,2399,919,736,266,198,88,32
2022-01-25,1888,2410,919,736,260,194,86,31
2022-01-26,1893,2415,919,736,276,196,87,32
2022-01-27,1892,2416,919,736,259,198,89,37
2022-01-28,1907,2436,923,742,258,194,82,36
2022-01-29,1907,2436,923,742,256,193,88,34
2022-01-30,1911,2447,925,743,241,187,88,36
2022-01-31,1913,2445,925,743,228,174,92,29
2022-02-01,1913,2445,925,743,218,167,85,32
2022-02-02,1913,2445,925,743,204,146,83,34
2022-02-03,1899,2444,925,743,202,151,78,38
2022-02-04,1899,2444,925,743,200,143,85,38
2022-02-05,1899,2444,925,743,196,145,79,33
2022-02-06,1899,2444,925,743,187,145,73,39
2022-02-07,1899,2444,925,743,183,135,73,36
2022-02-08,1899,2444,925,743,180,130,67,39
2022-02-10,1893,2432,923,743,145,112,66,32
2022-02-11,1893,2432,923,743,140,96,58,30
2022-02-12,1893,2432,923,743,135,93,56,28
2022-02-13,1893,2432,923,743,121,86,53,20
2022-02-14,1893,2432,923,743,116,82,47,19
2022-02-15,1885,2432,923,743,107,70,49,18
2022-02-16,1885,2432,923,743,95,70,48,20
2022-02-17,1885,2432,923,743,90,62,58,19
2022-02-18,1889,2428,923,743,95,62,46,17
